Gene,Result
ABCC8,Results: 8 books (122 items)
ACTB,Results: 12 books (57 items)
ACTG1,Results: 3 books (61 items)
ADAR,Results: 1 to 20 of 42 books (141 items)
ADCY5,Results: 3 books (45 items)
ADNP,Results: 5 books (30 items)
AFG3L2,Results: 2 books (48 items)
AHDC1,Results: 2 books (21 items)
AIFM1,Results: 2 books (37 items)
ALDH3A2,Results: 2 books (30 items)
AMPD2,Element not found
AP1S2,Element not found
AP4M1,Results: 2 books (50 items)
AP4S1,Results: 2 books (50 items)
ARID1B,Results: 7 books (87 items)
ARID2,Results: 7 books (37 items)
ARSE,Results: 16 books (38 items)
ARX,Results: 1 to 20 of 25 books (133 items)
ASXL1,Results: 7 books (65 items)
ASXL3,Element not found
ATL1,Results: 2 books (59 items)
ATM,Results: 1 to 20 of 337 books (1123 items)
ATP1A2,Results: 4 books (47 items)
ATP1A3,Results: 4 books (78 items)
ATP5A1,Results: 2 books (10 items)
ATP6V0A4,Results: 2 books (21 items)
ATP7A,Results: 8 books (96 items)
ATRX,Results: 17 books (122 items)
AUTS2,Results: 6 books (14 items)
BCAP31,Results: 2 books (6 items)
BCL11A,Results: 11 books (52 items)
C5orf42,Results: 2 books (12 items)
CACNA1A,Results: 11 books (143 items)
CACNA1G,Results: 7 books (13 items)
CALM1,Results: 4 books (44 items)
CAMTA1,Results: 5 books (20 items)
CASK,Results: 1 to 20 of 21 books (96 items)
CDC42,Results: 1 to 20 of 43 books (212 items)
CDKL5,Results: 9 books (39 items)
CHD2,Results: 8 books (48 items)
CHD8,Results: 11 books (57 items)
CHMP1A,Results: 2 books (9 items)
CHRNE,Results: 3 books (34 items)
CIT,Results: 1 to 20 of 213 books (796 items)
CLTC,Results: 4 books (13 items)
CLTCL1,Element not found
COL4A1,Results: 7 books (52 items)
COL4A2,Results: 4 books (14 items)
CREBBP,Results: 16 books (99 items)
CTBP1,Results: 4 books (34 items)
CTC1,Results: 4 books (57 items)
CTNNB1,Results: 1 to 20 of 33 books (190 items)
CUL4B,Results: 2 books (11 items)
CYP2U1,Results: 2 books (25 items)
DDC,Results: 1 to 20 of 94 books (189 items)
DDHD2,Results: 3 books (34 items)
DDX3X,Results: 3 books (31 items)
DKC1,Results: 6 books (77 items)
DNM1,Element not found
DNM1L,Results: 3 books (21 items)
DNMT3A,Results: 1 to 20 of 29 books (117 items)
DOCK6,Results: 2 books (4 items)
DYNC1H1,Results: 4 books (40 items)
DYRK1A,Results: 14 books (62 items)
EARS2,Results: 3 books (12 items)
EBF3,Results: 2 books (21 items)
ECHS1,Element not found
EEF1A2,Element not found
EHMT1,Results: 10 books (50 items)
EIF2B2,Results: 3 books (37 items)
EP300,Results: 13 books (85 items)
EPG5,Results: 3 books (26 items)
ERCC6,Results: 9 books (69 items)
ERCC8,Results: 3 books (47 items)
EXOSC3,Results: 2 books (35 items)
EZH2,Results: 1 to 20 of 31 books (173 items)
FA2H,Results: 2 books (88 items)
FAR1,Results: 4 books (6 items)
FARS2,Results: 2 books (37 items)
FBN2,Results: 7 books (70 items)
FGD1,Results: 3 books (22 items)
FGF12,Results: 4 books (41 items)
FGFR1,Results: 1 to 20 of 37 books (285 items)
FH,Results: 1 to 20 of 1057 books (3215 items)
FOXG1,Results: 13 books (49 items)
FRRS1L,Element not found
FUCA1,Results: 5 books (37 items)
G6PD,Results: 1 to 20 of 93 books (507 items)
GABRA1,Results: 10 books (46 items)
GABRB2,Results: 3 books (7 items)
GFAP,Results: 1 to 20 of 84 books (380 items)
GLRA1,Results: 4 books (27 items)
GNAO1,Element not found
GNAS,Results: 9 books (167 items)
GNB1,Element not found
GPT2,Element not found
GRIA3,Results: 6 books (21 items)
GRIN1,Results: 8 books (49 items)
GRIN2B,Results: 1 to 20 of 41 books (119 items)
HACE1,Results: 2 books (4 items)
HDAC8,Results: 7 books (77 items)
HECW2,Element not found
HIST1H1E,Element not found
HNRNPH2,Element not found
HPRT1,Results: 8 books (82 items)
IDS,Results: 1 to 20 of 292 books (880 items)
IFIH1,Results: 9 books (53 items)
IQSEC2,Results: 3 books (10 items)
ITPR1,Results: 4 books (48 items)
KAT6A,Results: 3 books (15 items)
KCNB1,Results: 3 books (3 items)
KCNC3,Results: 3 books (51 items)
KCNQ2,Results: 14 books (139 items)
KCNT1,Results: 5 books (66 items)
KCTD7,Results: 2 books (30 items)
KDM5C,Results: 6 books (17 items)
KIAA2022/NEXMIF,Results: 2 books (11 items)
KIDINS220,Element not found
KIF11,Results: 2 books (24 items)
KIF1A,Results: 9 books (82 items)
KMT2A,Results: 11 books (79 items)
KMT2B,Element not found
L1CAM,Results: 1 to 20 of 30 books (124 items)
LIPH,Element not found
LMAN2L,Element not found
MAP2K1,Results: 9 books (130 items)
MBD5,Results: 5 books (37 items)
MECP2,Results: 1 to 20 of 47 books (225 items)
MED12,Results: 8 books (64 items)
MED13L,Element not found
MEF2C,Results: 17 books (61 items)
MFN2,Results: 6 books (81 items)
MICU1,Element not found
MOCS2,Results: 2 books (39 items)
MTFMT,Results: 3 books (31 items)
NAA10,Results: 2 books (10 items)
