Gene,Search Term,Search Filter,Number of Results
ABCC8,ABCC8 [treatment or intervention]AND patient,AND patient,578
ACTB,ACTB [treatment or intervention]AND patient,AND patient,320
ACTG1,ACTG1 [treatment or intervention]AND patient,AND patient,86
ADAR,ADAR [treatment or intervention]AND patient,AND patient,414
ADCY5,ADCY5 [treatment or intervention]AND patient,AND patient,63
ADNP,ADNP [treatment or intervention]AND patient,AND patient,69
AFG3L2,AFG3L2 [treatment or intervention]AND patient,AND patient,50
AHDC1,AHDC1 [treatment or intervention]AND patient,AND patient,29
AIFM1,AIFM1 [treatment or intervention]AND patient,AND patient,91
ALDH3A2,ALDH3A2 [treatment or intervention]AND patient,AND patient,58
AMPD2,AMPD2 [treatment or intervention]AND patient,AND patient,15
AP1S2,AP1S2 [treatment or intervention]AND patient,AND patient,16
AP4M1,AP4M1 [treatment or intervention]AND patient,AND patient,23
AP4S1,AP4S1 [treatment or intervention]AND patient,AND patient,13
ARID1B,ARID1B [treatment or intervention]AND patient,AND patient,186
ARID2,ARID2 [treatment or intervention]AND patient,AND patient,114
ARSE,ARSE [treatment or intervention]AND patient,AND patient,32
ARX,ARX [treatment or intervention]AND patient,AND patient,247
ASXL1,ASXL1 [treatment or intervention]AND patient,AND patient,1027
ASXL3,ASXL3 [treatment or intervention]AND patient,AND patient,48
ATL1,ATL1 [treatment or intervention]AND patient,AND patient,92
ATM,ATM [treatment or intervention]AND patient,AND patient,9742
ATP1A2,ATP1A2 [treatment or intervention]AND patient,AND patient,162
ATP1A3,ATP1A3 [treatment or intervention]AND patient,AND patient,225
ATP5A1,ATP5A1 [treatment or intervention]AND patient,AND patient,28
ATP6V0A4,ATP6V0A4 [treatment or intervention]AND patient,AND patient,61
ATP7A,ATP7A [treatment or intervention]AND patient,AND patient,286
ATRX,ATRX [treatment or intervention]AND patient,AND patient,791
AUTS2,AUTS2 [treatment or intervention]AND patient,AND patient,68
BCAP31,BCAP31 [treatment or intervention]AND patient,AND patient,35
BCL11A,BCL11A [treatment or intervention]AND patient,AND patient,297
C5orf42,C5orf42 [treatment or intervention]AND patient,AND patient,21
CACNA1A,CACNA1A [treatment or intervention]AND patient,AND patient,496
CACNA1G,CACNA1G [treatment or intervention]AND patient,AND patient,89
CALM1,CALM1 [treatment or intervention]AND patient,AND patient,80
CAMTA1,CAMTA1 [treatment or intervention]AND patient,AND patient,64
CASK,CASK [treatment or intervention]AND patient,AND patient,90
CDC42,CDC42 [treatment or intervention]AND patient,AND patient,633
CDKL5,CDKL5 [treatment or intervention]AND patient,AND patient,365
CHD2,CHD2 [treatment or intervention]AND patient,AND patient,76
CHD8,CHD8 [treatment or intervention]AND patient,AND patient,74
CHMP1A,CHMP1A [treatment or intervention]AND patient,AND patient,8
CHRNE,CHRNE [treatment or intervention]AND patient,AND patient,72
